시점,항목,경기도,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시
1995,총인구수 (명),7789424,746610,886663,281184,593142,779745,343899,321636,72431,504615,563398,70105,143177,237398,69562,139262,244540,109752,117378,-,-,-,-,-,-,-,-,-
1996,총인구수 (명),8155794,769876,914240,290326,599163,793437,346108,335901,72860,527650,657226,70890,155429,254106,72518,174876,253874,111562,122008,270517,171056,160479,-,-,-,-,-,-
1997,총인구수 (명),8470594,798640,923226,306585,591522,788136,342630,346008,73644,544144,718465,71128,164150,278939,75344,221420,261794,114311,125163,300670,177136,171108,-,-,-,-,-,-
1998,총인구수 (명),8672632,854084,921227,327965,586562,778789,343933,346694,73625,546117,750418,71322,163758,306553,76638,253329,270138,115505,123836,318393,178803,175400,129957,127865,-,-,-,-
1999,총인구수 (명),8934332,910045,921204,344780,582584,775573,340021,352181,74665,547759,772390,71329,166232,334551,84843,293272,270061,116300,123709,357126,181496,180285,132093,148066,-,-,-,-
2000,총인구수 (명),9219343,948065,924390,361131,581166,775815,338139,356103,75529,566912,797597,71432,169417,358396,105933,318083,270151,121292,123366,392133,191726,183605,136590,162997,-,-,-,-
2001,총인구수 (명),9544496,974866,932780,367171,591670,781091,336309,358263,74266,590598,811467,71201,184816,375041,114540,337402,269080,124191,123659,451670,224658,187274,141605,180404,210524,152878,-,-
2002,총인구수 (명),9927473,1019711,940974,378424,595142,816499,340807,358531,73177,628861,836664,70488,193214,392614,115956,353860,268559,133395,127541,525622,235147,189526,147898,193438,226930,175614,-,-
2003,총인구수 (명),10206851,1032944,962048,394803,604505,844256,336083,364979,74735,651625,865077,70324,192947,403755,118167,368223,273765,143388,128326,575255,237658,190753,151522,203391,236226,191466,148062,150240
2004,총인구수 (명),10462920,1033829,977166,397612,621047,855697,331419,370653,79214,666784,886000,68333,193438,418360,121326,378613,275761,145535,129903,640452,246323,190808,154110,208192,271563,205641,152596,150364
2005,총인구수 (명),10697215,1045587,983075,402410,625350,855359,327828,383976,82623,679011,904077,60956,192548,450054,129843,387239,277781,145952,132850,693660,261770,192271,157130,207229,296530,214498,160589,155242